"Input0 to Hidden0 Weight","-0.022681"
"Input1 to Hidden0 Weight","-0.586711"
"Input2 to Hidden0 Weight","-0.605966"
"Input3 to Hidden0 Weight","0.815786"
"Input4 to Hidden0 Weight","-0.680438"
"Input5 to Hidden0 Weight","-0.704245"
"Input6 to Hidden0 Weight","0.268677"
"Input7 to Hidden0 Weight","0.248698"
"Input8 to Hidden0 Weight","0.495376"
"Input9 to Hidden0 Weight","0.179006"
"Input10 to Hidden0 Weight","-0.171619"
"Input11 to Hidden0 Weight","-0.869557"
"Input12 to Hidden0 Weight","1.616070"
"Input13 to Hidden0 Weight","0.011972"
"Input14 to Hidden0 Weight","1.188823"
"Input15 to Hidden0 Weight","1.370561"
"Input16 to Hidden0 Weight","1.381692"
"Input17 to Hidden0 Weight","-0.118052"
"Input18 to Hidden0 Weight","-0.195794"
"Input19 to Hidden0 Weight","1.223686"
"Input20 to Hidden0 Weight","0.912179"
"Input21 to Hidden0 Weight","1.395219"
"Input22 to Hidden0 Weight","-0.348764"
"Input23 to Hidden0 Weight","-0.429791"
"Input24 to Hidden0 Weight","-0.660608"
"Input25 to Hidden0 Weight","0.643838"
"Input26 to Hidden0 Weight","0.158370"
"Input27 to Hidden0 Weight","-0.709354"
"Input28 to Hidden0 Weight","-0.760644"
"Input29 to Hidden0 Weight","-0.262787"
"Input30 to Hidden0 Weight","0.359797"
"Input31 to Hidden0 Weight","1.198279"
"Input32 to Hidden0 Weight","1.965184"
"Input33 to Hidden0 Weight","-2.589521"
"Input34 to Hidden0 Weight","0.101571"
"Input35 to Hidden0 Weight","0.282829"
"Input36 to Hidden0 Weight","-0.158008"
"Input37 to Hidden0 Weight","1.034601"
"Input38 to Hidden0 Weight","-0.224195"
"Input39 to Hidden0 Weight","0.609025"
"Input40 to Hidden0 Weight","0.762336"
"Input41 to Hidden0 Weight","-0.357573"
"Input42 to Hidden0 Weight","0.584858"
"Input43 to Hidden0 Weight","0.402252"
"Input44 to Hidden0 Weight","-0.182267"
"Input45 to Hidden0 Weight","-0.150009"
"Input46 to Hidden0 Weight","0.432696"
"Input47 to Hidden0 Weight","0.537617"
"Input48 to Hidden0 Weight","0.142565"
"Input49 to Hidden0 Weight","1.246515"
"Input50 to Hidden0 Weight","-0.415960"
"Input51 to Hidden0 Weight","0.092362"
"Input52 to Hidden0 Weight","0.037295"
"Input53 to Hidden0 Weight","-0.493909"
"Input54 to Hidden0 Weight","-1.585274"
"Input55 to Hidden0 Weight","-0.543028"
"Input56 to Hidden0 Weight","0.925300"
"Input57 to Hidden0 Weight","-0.558078"
"Input58 to Hidden0 Weight","0.925799"
"Input59 to Hidden0 Weight","0.680493"
"Input60 to Hidden0 Weight","-0.921259"
"Input61 to Hidden0 Weight","-0.575824"
"Input62 to Hidden0 Weight","-0.097372"
"Input63 to Hidden0 Weight","0.458460"
"Input64 to Hidden0 Weight","0.070287"
"Input65 to Hidden0 Weight","1.909938"
"Input66 to Hidden0 Weight","-1.826210"
"Input67 to Hidden0 Weight","1.354563"
"Input68 to Hidden0 Weight","0.776284"
"Input69 to Hidden0 Weight","-0.002478"
"Input70 to Hidden0 Weight","0.018254"
"Input71 to Hidden0 Weight","0.099565"
"Input72 to Hidden0 Weight","1.753001"
"Input73 to Hidden0 Weight","0.427846"
"Input74 to Hidden0 Weight","-3.265325"
"Input75 to Hidden0 Weight","-0.819321"
"Input76 to Hidden0 Weight","1.124374"
"Input77 to Hidden0 Weight","1.265500"
"Input78 to Hidden0 Weight","1.451382"
"Input79 to Hidden0 Weight","0.124776"
"Input80 to Hidden0 Weight","0.098957"
"Input81 to Hidden0 Weight","-0.026391"
"Input82 to Hidden0 Weight","-1.780151"
"Input83 to Hidden0 Weight","0.774272"
"Input84 to Hidden0 Weight","-1.159513"
"Input85 to Hidden0 Weight","-0.754915"
"Input86 to Hidden0 Weight","-0.281759"
"Input87 to Hidden0 Weight","-0.389931"
"Input88 to Hidden0 Weight","-0.262975"
"Input89 to Hidden0 Weight","0.309634"
"Input90 to Hidden0 Weight","-0.577227"
"Input91 to Hidden0 Weight","0.006919"
"Input92 to Hidden0 Weight","-0.310502"
"Input93 to Hidden0 Weight","-0.425035"
"Input94 to Hidden0 Weight","0.069587"
"Input95 to Hidden0 Weight","0.529792"
"Input96 to Hidden0 Weight","-0.062035"
"Input97 to Hidden0 Weight","0.026413"
"Input98 to Hidden0 Weight","-1.591576"
"Input99 to Hidden0 Weight","1.906567"
"Input100 to Hidden0 Weight","0.308866"
"Input101 to Hidden0 Weight","0.479760"
"Input102 to Hidden0 Weight","2.656612"
"Input103 to Hidden0 Weight","2.346297"
"Input104 to Hidden0 Weight","1.694990"
"Input105 to Hidden0 Weight","1.236241"
"Input106 to Hidden0 Weight","1.683074"
"Input107 to Hidden0 Weight","0.936858"
"Input108 to Hidden0 Weight","1.190269"
"Input109 to Hidden0 Weight","-1.870600"
"Input110 to Hidden0 Weight","0.379417"
"Input111 to Hidden0 Weight","0.973190"
"Input112 to Hidden0 Weight","1.042976"
"Input113 to Hidden0 Weight","1.512139"
"Input114 to Hidden0 Weight","-0.242831"
"Input115 to Hidden0 Weight","0.598494"
"Input116 to Hidden0 Weight","0.583234"
"Input117 to Hidden0 Weight","-0.842686"
"Input118 to Hidden0 Weight","0.366771"
"Input119 to Hidden0 Weight","0.018589"
"Input120 to Hidden0 Weight","0.900281"
"Input121 to Hidden0 Weight","0.218973"
"Input122 to Hidden0 Weight","1.236960"
"Input123 to Hidden0 Weight","-0.666085"
"Input124 to Hidden0 Weight","-0.436866"
"Input125 to Hidden0 Weight","-1.281966"
"Input126 to Hidden0 Weight","-0.875595"
"Input127 to Hidden0 Weight","-0.046858"
"Input128 to Hidden0 Weight","-0.176328"
"Input129 to Hidden0 Weight","1.555601"
"Input130 to Hidden0 Weight","1.553240"
"Input131 to Hidden0 Weight","0.109157"
"Input132 to Hidden0 Weight","-0.289104"
"Input133 to Hidden0 Weight","0.205111"
"Input134 to Hidden0 Weight","0.635642"
"Input135 to Hidden0 Weight","0.833098"
"Input136 to Hidden0 Weight","1.456093"
"Input137 to Hidden0 Weight","0.204546"
"Input138 to Hidden0 Weight","-0.257035"
"Input139 to Hidden0 Weight","0.341261"
"Input140 to Hidden0 Weight","1.435761"
"Input141 to Hidden0 Weight","0.482410"
"Input142 to Hidden0 Weight","0.531783"
"Input143 to Hidden0 Weight","-0.440316"
"Input144 to Hidden0 Weight","-1.066109"
"Input145 to Hidden0 Weight","1.342350"
"Input146 to Hidden0 Weight","0.255798"
"Input147 to Hidden0 Weight","-0.330671"
"Input148 to Hidden0 Weight","0.199753"
"Input149 to Hidden0 Weight","1.283561"
"Input150 to Hidden0 Weight","-1.711878"
"Input151 to Hidden0 Weight","-2.501541"
"Input152 to Hidden0 Weight","0.271918"
"Input153 to Hidden0 Weight","-1.448714"
"Input154 to Hidden0 Weight","-1.933255"
"Input155 to Hidden0 Weight","-0.557223"
"Input156 to Hidden0 Weight","-1.139848"
"Input157 to Hidden0 Weight","-2.283930"
"Input158 to Hidden0 Weight","-2.733644"
"Input159 to Hidden0 Weight","-0.209774"
"Input160 to Hidden0 Weight","0.326584"
